precision_threshold,mrfh,hit_cases,hit_rate_pct,threshold_type,method,task,hit_rate_base,mrfh_base,baseline_threshold,hit_rate_drop_pp,mrfh_drop
0.2,0.6147,77,82.8,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,2.1000000000000085,0.07689999999999997
0.25,0.6093,76,81.7,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,3.200000000000003,0.08230000000000004
0.3,0.5908,76,81.7,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,3.200000000000003,0.1008
0.35,0.5878,74,79.6,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,5.300000000000011,0.1038
0.4,0.5816,74,79.6,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,5.300000000000011,0.10999999999999999
0.45,0.561,73,78.5,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,6.400000000000006,0.13059999999999994
0.5,0.5341,72,77.4,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,7.5,0.15749999999999997
0.55,0.5314,72,77.4,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,7.5,0.1602
0.6,0.5085,70,75.3,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,9.600000000000009,0.18310000000000004
0.65,0.4716,68,73.1,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,11.800000000000011,0.21999999999999997
0.7,0.4566,65,69.9,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,15.0,0.235
0.75,0.4145,60,64.5,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,20.400000000000006,0.2771
0.8,0.3948,59,63.4,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,21.500000000000007,0.2968
0.85,0.3628,55,59.1,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,25.800000000000004,0.3288
0.9,0.3494,54,58.1,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,26.800000000000004,0.3422
0.95,0.3226,53,57.0,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,27.900000000000006,0.369
1.0,0.0,0,0.0,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,84.9,0.6916
0.0,0.4671,72,83.7,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,-4.6000000000000085,-0.02560000000000001
0.05,0.4415,68,79.1,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,0.0,0.0
0.1,0.4142,66,76.7,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,2.3999999999999915,0.02729999999999999
0.15,0.4017,65,75.6,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,3.5,0.0398
0.2,0.3806,63,73.3,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,5.799999999999997,0.06090000000000001
0.25,0.3654,61,70.9,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,8.199999999999989,0.0761
0.3,0.3445,57,66.3,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,12.799999999999997,0.09700000000000003
0.35,0.321,55,64.0,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,15.099999999999994,0.1205
0.4,0.2988,54,62.8,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,16.299999999999997,0.1427
0.45,0.2733,51,59.3,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,19.799999999999997,0.16820000000000002
0.5,0.267,47,54.7,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,24.39999999999999,0.1745
0.55,0.2526,46,53.5,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,25.599999999999994,0.1889
0.6,0.2341,45,52.3,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,26.799999999999997,0.2074
0.65,0.2282,45,52.3,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,26.799999999999997,0.21330000000000002
0.7,0.2185,45,52.3,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,26.799999999999997,0.223
0.75,0.2138,42,48.8,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,30.299999999999997,0.2277
0.8,0.1981,40,46.5,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,32.599999999999994,0.2434
0.85,0.1693,38,44.2,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,34.89999999999999,0.2722
0.9,0.1576,37,43.0,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,36.099999999999994,0.28390000000000004
0.95,0.1489,37,43.0,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,36.099999999999994,0.29259999999999997
1.0,0.0,0,0.0,precision,PathAgent,TCGA_BRCA_subtype,79.1,0.4415,0.05,79.1,0.4415
0.0,0.7537,85,86.7,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,-1.0,-0.010199999999999987
0.05,0.7435,84,85.7,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,0.0,0.0
0.1,0.7428,84,85.7,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,0.0,0.0007000000000000339
0.15,0.7275,83,84.7,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,1.0,0.016000000000000014
0.2,0.7275,83,84.7,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,1.0,0.016000000000000014
0.25,0.7275,83,84.7,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,1.0,0.016000000000000014
0.3,0.7275,83,84.7,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,1.0,0.016000000000000014
0.35,0.716,81,82.7,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,3.0,0.02750000000000008
0.4,0.7049,80,81.6,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,4.1000000000000085,0.03860000000000008
0.45,0.6845,78,79.6,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,6.1000000000000085,0.05900000000000005
0.5,0.6743,77,78.6,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,7.1000000000000085,0.06920000000000004
0.55,0.6743,77,78.6,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,7.1000000000000085,0.06920000000000004
0.6,0.6726,77,78.6,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,7.1000000000000085,0.07090000000000007
0.65,0.6573,76,77.6,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,8.100000000000009,0.08620000000000005
0.7,0.6522,75,76.5,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,9.200000000000003,0.09130000000000005
0.75,0.642,74,75.5,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,10.200000000000003,0.10150000000000003
0.8,0.6384,74,75.5,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,10.200000000000003,0.10510000000000008
0.85,0.6282,73,74.5,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,11.200000000000003,0.11530000000000007
0.9,0.618,72,73.5,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,12.200000000000003,0.12550000000000006
0.95,0.5924,69,70.4,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,15.299999999999997,0.1511
1.0,0.0,0,0.0,precision,Pathology-CoT,TCGA_BRCA_subtype,85.7,0.7435,0.05,85.7,0.7435
0.0,0.728,81,87.1,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,-1.0999999999999943,-0.022199999999999998
0.05,0.7058,80,86.0,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,0.0,0.0
0.1,0.6913,79,84.9,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,1.0999999999999943,0.014499999999999957
0.15,0.6895,79,84.9,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,1.0999999999999943,0.01629999999999998
0.2,0.6712,78,83.9,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,2.0999999999999943,0.034599999999999964
0.25,0.6604,77,82.8,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,3.200000000000003,0.045399999999999996
0.3,0.6569,77,82.8,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,3.200000000000003,0.048899999999999944
0.35,0.6569,77,82.8,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,3.200000000000003,0.048899999999999944
0.4,0.6569,77,82.8,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,3.200000000000003,0.048899999999999944
0.45,0.6411,77,82.8,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,3.200000000000003,0.06469999999999998
0.5,0.6397,77,82.8,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,3.200000000000003,0.06609999999999994
0.55,0.6316,77,82.8,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,3.200000000000003,0.07419999999999993
0.6,0.6251,77,82.8,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,3.200000000000003,0.0807
0.65,0.6237,76,81.7,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,4.299999999999997,0.08209999999999995
0.7,0.6236,76,81.7,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,4.299999999999997,0.08219999999999994
0.75,0.6236,76,81.7,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,4.299999999999997,0.08219999999999994
0.8,0.6164,76,81.7,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,4.299999999999997,0.08940000000000003
0.85,0.6163,76,81.7,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,4.299999999999997,0.08950000000000002
0.9,0.6163,76,81.7,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,4.299999999999997,0.08950000000000002
0.95,0.5946,74,79.6,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,6.400000000000006,0.11119999999999997
1.0,0.0,0,0.0,precision,slide_seek,TCGA_BRCA_subtype,86.0,0.7058,0.05,86.0,0.7058
0.0,0.6938,575,83.1,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,-1.5,-0.023699999999999943
0.05,0.6701,565,81.6,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,0.0,0.0
0.1,0.6511,557,80.5,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,1.0999999999999943,0.019000000000000017
0.15,0.6328,548,79.2,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,2.3999999999999915,0.0373
0.2,0.6174,543,78.5,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,3.0999999999999943,0.05270000000000008
0.25,0.5925,532,76.9,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,4.699999999999989,0.0776
