case,roi_rows,max_precision,mean_precision,max_recall,mean_recall,max_iou,mean_iou,any_hit,agg_precision,agg_recall,agg_iou,method,task,roi_source,correct,has_matching_correct
test_102,76,0.5795,0.007625,0.0896,0.0011789473684210526,0.0841,0.001106578947368421,1,0.0152,0.0896,0.0132,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_104,22,0.5098,0.023172727272727275,0.0182,0.0008272727272727273,0.0179,0.0008136363636363636,1,0.0232,0.0182,0.0103,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_105,50,0.9958,0.06599000000000001,0.0031,0.000206,0.0031,0.000206,0,0.066,0.0104,0.0091,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_108,24,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_110,28,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_113,42,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_116,38,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_117,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_121,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_122,16,0.0034,0.00021874999999999998,0.0027,0.000175,0.0015,9.375e-05,1,0.0002,0.0028,0.0002,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
