case,method,task,threshold,roi_rows,hit_at_thr005,first_hit_rank_thr005,max_precision,mean_precision,max_precision_ge_thr005,mean_precision_ge_thr005,agg_precision,agg_recall,agg_iou,roi_source,correct,has_matching_correct
test_105,PathAgent,CAMELYON16_detection,0.05,50,True,22.0,0.9958,0.06599000000000001,0.9958,0.39502499999999996,0.066,0.0104,0.0091,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_108,PathAgent,CAMELYON16_detection,0.05,24,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_110,PathAgent,CAMELYON16_detection,0.05,28,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_113,PathAgent,CAMELYON16_detection,0.05,42,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_116,PathAgent,CAMELYON16_detection,0.05,38,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_117,PathAgent,CAMELYON16_detection,0.05,30,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_121,PathAgent,CAMELYON16_detection,0.05,10,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_122,PathAgent,CAMELYON16_detection,0.05,16,False,,0.0034,0.00021874999999999998,,,0.0002,0.0028,0.0002,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_001,Pathology-CoT,CAMELYON16_detection,0.05,10,True,10.0,0.842,0.08496000000000001,0.842,0.842,0.1013,0.0496,0.0344,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_002,Pathology-CoT,CAMELYON16_detection,0.05,10,True,2.0,0.7958,0.22488000000000002,0.7958,0.44976000000000005,0.1527,0.1102,0.0684,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_004,Pathology-CoT,CAMELYON16_detection,0.05,9,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_008,Pathology-CoT,CAMELYON16_detection,0.05,10,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_010,Pathology-CoT,CAMELYON16_detection,0.05,8,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_011,Pathology-CoT,CAMELYON16_detection,0.05,3,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_013,Pathology-CoT,CAMELYON16_detection,0.05,10,False,,0.0074,0.00144,,,0.0008,1.0,0.0008,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_016,Pathology-CoT,CAMELYON16_detection,0.05,7,True,5.0,0.8966,0.25157142857142856,0.8966,0.8805,0.2493,0.1024,0.0783,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_021,Pathology-CoT,CAMELYON16_detection,0.05,4,True,1.0,0.9734,0.8188500000000001,0.9734,0.8188500000000001,0.6156,0.0319,0.0312,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_026,Pathology-CoT,CAMELYON16_detection,0.05,6,True,1.0,0.1519,0.025316666666666668,0.1519,0.1519,0.0491,0.02,0.0144,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_027,Pathology-CoT,CAMELYON16_detection,0.05,6,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_029,Pathology-CoT,CAMELYON16_detection,0.05,10,True,5.0,0.0705,0.007049999999999999,0.0705,0.0705,0.0182,0.0711,0.0147,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
